#Table1
ID,DEC_deg,RA_deg,Redshift,MedianStellarMass_dex_solarmasses,DeVancoulerGalRad_bandR_arcsec
1237660635990392861,39.297236,142.63031,0.0459923,11.040217977541,4.550315
1237660669811490986,8.7218036,140.33695,0.1292206,11.3753220008948,3.032745
1237661064411676951,8.2019116,139.10032,0.1785354,11.164927857084,1.494202
1237661151918030970,48.764329,205.04284,0.1229254,10.7691506389529,1.193669
1237661958293094679,51.577781,195.8628,0.09438551,10.9836095303908,1.643839
1237663204921507989,0.71426778,16.843819,0.06517053,10.8672658652067,2.71307
1237663543680434711,0.27757771,324.52667,0.1188056,11.3220496630674,2.327798
1237663544214553042,0.80746462,318.14723,0.1706291,11.5128266416723,3.208069
1237663716555817048,0.90453564,10.547121,0.01819048,10.5574614141951,3.968878
1237663783129907405,-0.6694586,14.320723,0.04523477,11.2290163966827,7.419312
1237663783674708074,-0.32360853,32.37987,0.1999741,11.5805856948573,1.591987
1237663784200831177,0.045929866,7.8937592,0.1921398,11.6477075440926,6.047844
1237663784206794924,0.14485043,21.518313,0.2088889,11.545379838848,3.036941
1237664871354532179,35.699715,125.35671,0.1029152,11.0281955601677,1.871491
1237665354545692888,33.994661,246.23838,0.1808254,11.4223443003139,1.609521
1237665569298645516,38.876526,256.54015,0.167251,11.7327246724744,3.483449
1237666210885075185,-8.097879,330.57484,0.06484166,11.3409158160794,4.203951
1237666406848069833,-0.91272582,37.118275,0.2998714,11.7818110596709,2.73865
1237666407366394050,-0.44618686,354.81145,0.06869471,11.318249930162,4.973496
1237673709332463922,2.2001602,139.34993,0.2599446,11.648678025289,2.206917
1237674289682055328,33.744535,119.02304,0.07429913,11.6081426897726,8.304623
1237674367530631649,34.675244,120.30533,0.08269288,11.3751910837309,4.58706
1237674461487628695,1.5148695,137.05226,0.1015794,11.2019360039267,2.77776
1237679167157305449,15.71682,20.43886,0.1340122,11.3479334937874,1.924711
1237651067892858985,65.305438,200.38317,0.2260085,11.4973552222655,1.891137
1237651249902518604,49.411791,240.30903,0.2462411,11.9874787581793,6.069123
1237651250952012049,56.366978,139.93448,0.2777831,12.1126164557936,4.441321
1237651251479118277,39.72795,117.26102,0.2186511,11.6277684280649,2.235192
1237651251509461180,56.188414,231.76316,0.07624483,11.1962814497529,6.375586
1237651736315691294,1.5932464,229.94666,0.09017089,11.0577067811391,1.845236
